Item_MRP,Item_Weight,Item_Outlet_Sales
95.041,17.7,868.869
82.4276,14.15,1137.1864
52.7956,19.25,928.1252
151.7682,8.88,762.341
40.2822,20.5,707.0796
180.5976,NA,7968.2944
160.292,13.5,1438.128
224.4404,NA,6976.2524
101.7016,8.89,101.2016
188.5188,7.855,952.094
116.0492,7.235,1969.4364
165.4526,NA,5262.4832
60.5852,6.92,1314.2892
90.8172,9.3,535.3032
132.1284,18.5,263.6568
154.5972,8.02,1402.1748
105.1622,9.195,1693.7952
105.5938,12.8,2143.876
177.6344,16.6,2676.516
53.064,14,905.488
246.3802,18.6,7370.406
226.8404,16,6301.1312
160.692,17.6,1597.92
178.237,21.25,529.311
117.5492,7.235,1969.4364
50.3692,14.6,1034.6532
161.521,13.85,1794.331
197.6426,13.65,2768.3964
31.29,NA,898.83
226.172,7.365,3169.208
223.5746,18.35,3589.9936
132.5626,5.465,262.3252
99.8358,18.6,1910.1802
140.9154,13.85,1701.7848
154.5656,14,2471.4496
54.764,14,1331.6
97.0094,NA,1808.9786
222.5456,5.905,3315.684
114.2518,7.27,2618.5914
214.556,6.155,2769.728
233.4958,19.5,5375.0034
216.8824,15.2,2838.9712
125.0046,12.15,1743.0644
198.8084,NA,5555.4352
61.9194,12.6,619.194
164.821,14.5,2120.573
173.0738,16.6,3823.0236
151.4366,11.8,1360.2294
178.8318,13.1,3969.4996
115.1834,17.7,345.5502
196.5794,17.85,585.2382
92.6804,12.3,1010.6844
81.4618,11.8,161.1236
42.1112,NA,42.6112
157.4604,11.1,3010.7476
153.0656,NA,6024.1584
198.1426,11.3,988.713
117.944,NA,239.688
112.8176,5.75,1374.2112
226.8062,NA,4739.8302
100.0016,11.35,1012.016
165.7526,NA,657.8104
130.431,14,778.986
179.766,19.75,2336.958
85.0882,6.525,2233.0932
103.9648,10.3,1661.8368
264.7568,5.78,4745.8224
164.1526,11.85,3124.5994
50.1324,16.35,467.3916
182.5976,NA,5070.7328
37.6164,10.5,540.6296
48.0718,19,992.7078
238.8538,14.6,6008.845
62.9194,NA,2105.2596
232.63,NA,5359.69
104.628,18.75,745.696
161.8868,5.26,3275.736
140.2154,18.25,1701.7848
177.937,NA,6704.606
242.7512,15.1,4119.9704
81.5934,15.5,327.5736
45.7402,13.65,780.9834
189.3846,16.1,3630.6074
107.3622,NA,317.5866
39.7164,12.85,231.6984
32.99,9.5,133.16
245.1802,13.8,5650.6446
263.7568,5.78,2636.568
96.0726,19.7,1272.3438
161.5552,14.65,324.9104
130.0626,6.67,131.1626
131.2968,6.11,260.9936
260.0936,13.65,260.9936
160.6578,17.2,3690.5294
40.2822,6.32,1139.1838
52.9298,4.88,1995.4026
88.3514,5.425,1416.8224
37.2506,15.85,265.6542
121.7072,7.5,3552.7088
161.5578,12.65,2406.867
211.956,NA,213.056
124.173,20.75,2956.152
152.134,NA,153.134
79.7644,9,1649.8524
181.9292,NA,3101.2964
165.6526,NA,4769.1254
170.4764,NA,3435.528
86.4198,14.1,1133.8574
152.334,7.55,2603.278
45.406,13,605.878
192.8846,NA,2293.0152
118.7782,NA,119.1782
92.9804,12.3,1929.4884
109.8912,NA,2074.6328
79.9618,NA,241.6854
251.3724,17.25,6795.1548
42.7112,15.85,639.168
192.1846,18.85,3248.4382
227.6062,16.35,7222.5984
229.0668,14.1,3225.1352
249.0408,7.905,3755.112
179.3976,12,3440.8544
163.4552,12.15,974.7312
75.367,10.1,535.969
262.491,17.5,5259.82
152.034,NA,306.268
112.3886,17.1,1779.0176
61.451,7.785,759.012
125.9704,11.8,1877.556
171.8764,13.15,3779.0808
41.5796,NA,41.2796
51.1324,8.5,259.662
96.341,8.645,193.082
110.9202,17.6,1687.803
127.5362,9.1,4655.9394
225.9404,12.8,4950.8888
95.4436,7.63,1418.154
246.4144,9.285,1225.072
231.03,13.6,5359.69
176.237,8.895,1764.37
195.211,16.35,2553.343
43.3454,17.6,1006.6896
85.225,7.975,1081.925
36.7164,15.85,308.9312
178.666,15.7,2516.724
128.831,8.985,1428.141
260.1594,20.35,2093.2752
85.6908,6.59,1929.4884
264.0884,19.85,5829.7448
91.4488,16.85,2082.6224
173.1738,NA,7298.4996
256.4988,16.75,7452.9652
110.5202,17.6,450.0808
250.4408,7.905,500.6816
126.202,NA,3668.558
103.1964,7.785,736.3748
253.0698,7.825,6088.0752
101.0016,NA,2125.2336
153.0024,20.75,2277.036
190.3846,NA,573.2538
151.1366,6.26,2267.049
147.3734,18.2,296.9468
46.306,13,559.272
222.1772,20.25,5559.43
95.5094,8.695,1237.7222
113.5518,7.27,569.259
174.0712,NA,3866.9664
198.4768,12.85,1379.5376
142.7128,7.075,1869.5664
196.211,NA,5499.508
94.3462,8.195,925.462
47.9034,7.09,583.2408
141.4154,6.095,1418.154
80.2644,19.35,942.7728
99.3384,6.15,2364.9216
87.9856,NA,3251.7672
125.2678,NA,254.3356
167.0474,17.7,5895.659
93.7436,17.85,1134.5232
224.972,9.395,7696.648
250.5382,15.75,2775.7202
241.2854,7.475,5317.0788
98.0068,7.075,874.8612
92.6436,6.445,1039.9796
235.0958,19.1,3038.0454
193.6162,20.25,3848.324
59.1904,15,527.3136
89.1514,6.67,2390.8878
60.222,NA,1677.816
112.7176,16.7,801.6232
115.5834,7.07,1267.0174
148.0076,6.48,886.8456
228.272,19,452.744
147.5392,13.35,3877.6192
146.6418,NA,4414.254
122.4388,NA,5448.9072
223.9404,9.695,4950.8888
62.6168,15,958.752
149.9708,11.15,1956.1204
103.2306,20.85,2404.2038
194.3478,9.8,387.4956
165.0842,16.35,994.7052
101.299,9.6,1754.383
129.9994,NA,3340.9844
216.7166,13.35,3918.8988
76.367,20.7,306.268
158.4604,NA,4278.4308
260.6278,16.2,4425.5726
230.9984,NA,9267.936
76.867,NA,229.701
129.39940000000001,NA,2055.9904
101.3016,5.5,3339.6528
221.7456,15.1,6410.3224
122.9046,15.7,1992.0736
104.4332,7.895,2870.9296
164.5184,NA,2807.0128
88.183,17.35,539.298
174.3054,7.285,4377.635
180.9976,20.25,2716.464
190.9504,NA,383.5008
59.5904,15.85,703.0848
66.3826,6.17,1937.478
182.2608,19.5,3307.6944
197.611,19.2,3142.576
181.2292,16.7,2554.0088
104.0648,20.85,1869.5664
260.4594,14.5,5494.8474
233.1616,11.395,6093.4016
174.0422,7.97,2586.633
55.2956,7.71,1255.6988
141.7496,19.25,4093.3384
142.2128,7.075,3163.8816
166.0816,NA,5033.448
79.9276,11.6,1137.1864
98.77,NA,2696.49
178.566,12.1,898.83
118.244,10,2756.412
81.896,14.35,878.856
58.222,10.395,659.142
182.6292,NA,182.4292
211.4902,8.1,3610.6334
256.4646,8.05,5153.292
108.7596,9.195,2588.6304
212.5876,20.7,1286.3256
110.1544,15.7,1230.3984
60.2194,NA,1733.7432
193.8162,NA,384.8324
180.0318,16.5,3969.4996
176.437,9,7763.228
41.2112,6.785,809.6128
178.6002,19.5,1253.7014
195.2768,7.575,5715.2272
57.7904,18.2,1464.76
169.8106,16.75,3251.1014
214.3218,7.47,4274.436
231.7958,NA,5375.0034
38.019,NA,1318.284
119.4124,13.85,2251.7356
37.4506,6.635,1176.4686
130.4968,6.11,3523.4136
86.2198,15.25,610.5386
96.4094,15.85,1237.7222
235.1248,15.2,474.0496
52.6666,NA,717.7324
150.5024,20.75,2580.6408
143.2154,10.195,2552.6772
164.021,7.605,3914.904
88.5514,18,796.9626
228.9352,NA,916.1408
191.3504,18.35,3259.7568
84.8908,6.59,1677.816
230.0984,13.8,3707.1744
173.5738,21.2,2954.1546
166.4842,10.5,2652.5472
52.7956,8.97,1037.3164
50.9666,NA,717.7324
86.1224,10.6,426.112
231.1668,13.65,6911.004
211.02440000000001,19,3811.0392
115.3518,NA,2277.036
48.9034,NA,48.6034
212.8218,6.865,5770.4886
40.2138,10.8,690.4346
110.2886,16.7,1890.2062
126.2336,NA,3195.84
150.1708,15.15,1504.708
238.3248,10.5,711.0744
174.2422,17.6,4311.055
175.4738,19.35,521.3214
59.4562,15.7,829.5868
155.5288,18.1,1571.288
239.6538,10.195,2403.538
41.6454,NA,83.8908
211.0586,6.655,844.2344
127.3336,19,2940.1728
98.0068,7.075,291.6204
181.2976,13.15,3259.7568
226.8036,20.1,3415.554
256.7672,20.35,5624.6784
190.1846,18.85,6687.961
227.1062,16.35,5642.655
196.2426,11.3,4943.565
182.6266,17.5,3135.2522
87.4514,18,796.9626
51.535,7.935,848.895
37.3164,NA,38.6164
184.5924,20.25,4997.4948
149.1418,15.5,588.5672
91.812,NA,372.848
155.7314,NA,155.1314
218.0508,15.35,3038.7112
200.2084,10.1,1587.2672
115.4176,16.7,687.1056
213.4876,20.7,1929.4884
223.8404,16,3600.6464
180.7634,14,2181.1608
181.4318,12.85,3428.2042
105.6648,20.85,623.1888
120.5124,12.35,2133.2232
261.6594,6.85,3401.5722
101.0042,10.3,1289.6546
49.6008,NA,50.6008
45.9428,8.775,790.9704
129.2626,18.85,3147.9024
56.7614,NA,2486.763
141.0812,14.85,1139.8496
84.3592,20.5,1816.3024
51.935,7.84,199.74
196.7452,18.25,978.726
85.854,10.3,2683.174
169.9448,12.5,2897.5616
260.5594,NA,9158.079
93.212,20.25,1957.452
40.2822,NA,1296.3126
140.3838,15,2528.7084
38.7138,8.325,284.2966
38.6506,15.85,759.012
117.3782,13.1,1787.673
111.3228,6.26,2431.5016
173.1764,17.25,4466.1864
119.9098,5.765,2048.6666
175.437,13.6,1940.807
88.783,10.5,2067.309
85.125,7.975,2663.2
192.1846,12.65,1146.5076
247.846,12.3,3448.844
184.8924,5.985,1665.8316
184.7266,NA,8114.7704
132.5284,15.15,1713.7692
56.4246,12.35,810.9444
84.9224,14.3,1193.1136
93.4094,8.695,856.8846
163.8842,16.35,165.7842
151.3366,6.135,1057.9562
185.0608,19.5,2205.1296
182.3608,9.5,2940.1728
235.8616,8.895,3046.7008
196.8452,18.25,3327.6684
258.3278,21.35,520.6556
174.837,19.7,2999.429
90.0804,NA,2113.2492
117.8466,16.6,942.7728
74.0354,NA,75.2354
133.6284,10.895,1581.9408
37.4506,NA,37.9506
151.3024,NA,151.8024
248.8092,NA,3486.1288
195.2478,8.51,4262.4516
243.9828,14.15,731.0484
128.8678,6.65,1398.8458
177.966,15.25,2336.958
196.5452,18.25,2348.9424
196.8768,NA,7094.7648
87.4856,16,1054.6272
127.831,19.2,1298.31
117.815,12.15,2330.3
208.9954,8.895,4584.6988
263.4568,10.895,527.3136
76.1986,16,1869.5664
106.928,NA,2876.256
43.6744,9.195,407.4696
201.0742,11.35,2189.8162
144.0102,10,1603.9122
82.4908,9.395,2013.3792
95.9752,NA,95.8752
192.8478,20.75,774.9912
128.402,9.8,2403.538
258.5646,5.695,4380.2982
37.819,18.2,219.714
49.2034,19.35,729.051
106.6938,18.35,1393.5194
163.6526,6.36,5262.4832
46.506,9.8,372.848
99.9042,NA,3273.7386
231.7642,NA,5344.3766
39.7506,6.635,303.6048
156.7288,18.1,314.2576
56.0614,8.93,276.307
38.9506,8.3,721.0614
112.7544,8.895,3467.4864
225.9062,16.35,5416.9488
140.5154,8.6,283.6308
160.2894,NA,323.5788
227.772,19,5206.556
157.263,7.56,2503.408
104.899,12.6,1960.781
184.7924,15.6,370.1848
49.5376,8.71,95.8752
158.1288,18.1,3299.7048
150.2392,13.35,2684.5056
173.3738,16.6,2085.2856
221.9456,6.695,2210.456
47.4034,NA,2187.153
57.2614,16.6,1049.9666
145.047,15.35,2719.793
54.593,19.7,56.593
78.6328,14.3,231.6984
195.8426,NA,5734.5354
138.718,10,1398.18
76.467,14.8,1531.34
160.692,NA,319.584
43.8744,8.71,633.8416
252.0698,12.15,1014.6792
97.0094,17.85,2094.6068
171.3448,9.5,2386.2272
34.7558,11.8,780.9834
139.8496,14.1,1693.7952
168.4158,NA,334.2316
168.3816,19.35,1342.2528
190.6872,19.75,4916.2672
78.696,10.3,1757.712
108.5912,NA,1637.868
84.925,NA,1747.725
193.4504,10.8,2876.256
139.9838,17.75,1966.7732
106.328,8.575,958.752
40.2138,19.1,81.2276
123.4388,20.7,1238.388
157.892,NA,319.584
211.0928,6.785,4418.2488
259.7278,6.57,2863.6058
264.9568,5.78,1845.5976
93.1804,6.92,1561.9668
194.1162,20.25,3848.324
149.005,13.65,2097.27
81.596,13.5,639.168
92.612,16.5,559.272
146.5102,16.7,2770.3938
99.7384,8.68,295.6152
36.2506,NA,37.9506
115.2834,7.235,1267.0174
39.3822,16.75,353.5398
92.112,15.35,1118.544
245.9144,10.8,4655.2736
110.2228,6.26,1547.3192
105.3306,5.63,1045.306
91.8804,6.92,275.6412
212.0928,12.15,2735.1064
175.5738,16.6,347.5476
182.7634,9.195,3817.0314
104.3622,19,1905.5196
83.825,9.395,665.8
192.1478,9.8,2324.9736
109.2228,NA,3205.1612
189.1846,18.85,2101.9306
152.3024,9.13,1821.6288
152.2024,9,3643.2576
114.586,17.1,2942.836
40.2454,6.715,587.2356
167.779,5.82,2886.243
110.2886,18.7,2223.772
123.2414,7.93,487.3656
211.7218,18.75,5770.4886
117.7466,NA,1414.1592
188.853,5,5502.837
76.8354,7.445,2181.8266
193.9452,20.85,1565.9616
115.1808,20.85,1054.6272
112.9886,19.2,1667.829
175.6712,17.35,2812.3392
98.1726,14.3,489.363
179.3002,19.5,2865.6032
90.7462,6.675,1665.8316
143.8154,8.18,2694.4926
83.4934,6.98,1555.9746
87.9172,NA,3836.3396
90.7488,16.85,543.2928
196.3794,14.8,1950.794
57.3562,12.3,177.7686
206.9638,7.435,1035.319
42.8796,15.1,949.4308
160.5578,9.195,1283.6624
59.9878,10.1,484.7024
79.5986,16,934.7832
48.1034,17.7,534.6374
39.448,8.1,878.856
120.1756,20.6,1332.9316
127.9678,20.35,3560.6984
93.1462,8.195,647.8234
248.675,17.75,4993.5
240.6854,7.475,1691.7978
188.7214,19,1695.7926
124.0072,12.6,4042.7376
174.837,NA,4763.799
102.6332,7.895,1640.5312
58.7904,NA,1288.9888
112.3886,17.1,2334.9606
148.5418,8.355,2207.127
145.2102,NA,437.4306
118.4124,18.5,2370.248
189.9214,NA,5087.3778
101.899,8.975,103.199
224.4088,10.1,4697.8848
158.6578,9.285,2406.867
238.3222,11.6,5736.5328
183.4266,NA,7192.6374
220.7798,12.5,6611.394
142.3496,16,3246.4408
51.6982,14.15,1262.3568
94.1462,20.2,1758.3778
211.5902,13.65,4672.5844
253.1724,17.25,3775.086
147.4102,5.655,2478.7734
182.2318,20.75,3067.3406
105.4622,5.175,3281.7282
46.2744,20,1086.5856
46.5402,11.8,229.701
102.8674,16.75,1528.011
155.034,18.35,1990.742
95.141,12.8,868.869
103.0332,19.75,1230.3984
187.6556,8.75,938.778
234.03,13.3,4194.54
194.6136,18.85,1166.4816
222.9114,9.695,5764.4964
37.5506,20.7,113.8518
174.408,NA,7443.644
191.7846,11.1,3057.3536
83.3224,8.975,3579.3408
253.1698,12.15,1522.0188
35.4216,7.67,450.0808
76.9012,13.8,607.2096
120.1098,4.785,1325.6078
105.3622,20,1270.3464
43.4112,NA,1107.8912
254.104,8.395,3542.056
95.2752,6.175,1534.0032
89.2198,8.21,1308.297
55.393,19.7,1471.418
89.6514,19.6,1239.7196
175.3028,7.5,3896.2616
214.4218,5.845,1496.0526
151.6708,11.395,3460.8284
132.1968,7.17,2870.9296
114.7176,5.75,1259.6936
178.2028,15.5,177.1028
99.77,7.76,798.96
212.9902,13.65,3185.853
98.3042,10.8,1488.063
189.2846,11.1,5159.2842
182.0318,NA,5954.2494
226.8404,12.8,4500.808
123.0414,8.785,121.8414
185.9556,20.6,4318.3788
121.0782,7.89,3456.1678
185.8266,16.85,1659.8394
127.402,16.35,759.012
159.4578,NA,4974.1918
87.983,17.35,1707.777
197.3768,NA,7488.9184
116.8124,NA,2488.7604
186.7556,12.6,2816.334
101.4674,5.32,2954.1546
255.2698,NA,761.0094
199.4426,13,593.2278
50.2324,NA,1298.31
46.3376,19.85,1150.5024
237.159,17.6,3072.667
181.7976,14.6,3259.7568
152.734,7.55,2756.412
106.9254,13.8,2930.1858
99.2068,17.25,97.2068
153.1656,10.1,1544.656
212.5586,14.3,3165.879
100.6016,9.8,1619.2256
194.4478,11.3,387.4956
36.3216,7.67,415.4592
55.893,13.8,226.372
160.0604,10.395,1267.6832
175.8028,20.7,1593.9252
147.176,NA,585.904
149.605,17.35,3745.125
104.828,16.35,1810.976
167.0474,19.35,2358.2636
50.3034,15.2,145.8102
78.2302,14.3,554.6114
146.8102,NA,3499.4448
127.3678,20,1780.3492
172.1106,NA,2566.659
38.2848,10.1,1230.3984
41.548,NA,918.804
170.7106,NA,3079.9908
56.9588,8.18,744.3644
179.8002,19.5,716.4008
254.7672,18.7,5113.344
48.5692,12.35,886.8456
45.5718,16,1039.9796
253.704,8.395,4554.072
119.7098,4.785,1807.647
122.6756,5.03,2665.8632
174.3054,15.6,1751.054
173.6054,7.285,2626.581
120.9072,20.35,1470.0864
165.9816,17.7,4362.3216
164.3842,NA,4476.1734
248.4092,20.25,2241.0828
264.791,8.945,4733.838
66.0826,NA,258.3304
199.0084,18.25,3174.5344
127.6678,20.35,2924.8594
72.3038,16.75,960.7494
178.166,12.1,539.298
144.2102,18.5,2041.3428
58.5904,15,996.0368
158.992,19.5,1757.712
230.6668,13.65,1842.9344
170.6764,13.15,3435.528
106.2596,NA,1402.1748
211.4244,20.6,7833.8028
87.9198,6.28,1221.0772
42.8086,5.925,669.129
94.541,17.7,1061.951
168.1132,18.85,2874.9244
241.8854,NA,4592.0226
141.718,17.5,419.454
182.8266,17.7,5163.9448
107.7596,16.1,323.5788
128.402,9.8,1265.02
54.793,7.565,622.523
111.7202,17.6,1125.202
164.1552,12.15,5198.5664
61.651,9.31,379.506
82.1908,19.25,2432.8332
110.7228,9.5,1657.842
143.947,15.35,3006.087
153.4682,NA,2287.023
120.3098,NA,1687.1372
189.1188,17.85,3237.1196
82.225,7.02,2746.425
81.425,NA,1331.6
53.2614,NA,607.8754
106.3938,12.3,857.5504
184.824,5.46,4287.752
147.2076,15.1,1773.6912
46.8402,11.8,597.22260000000006
33.4558,19.25,441.4254
55.8588,13.65,1431.47
240.2564,13.35,2860.2768
86.9514,NA,3364.9532
88.6856,13.15,1757.712
89.8856,14.3,966.7416
115.1834,12.3,1958.1178
63.2826,7.825,129.1652
38.8138,19.1,365.5242
93.7778,8.71,1783.6782
252.2698,19.6,2790.3678
179.3002,19.5,2328.3026
174.737,15.85,2822.992
85.1224,NA,2045.3376
47.2402,17.6,505.3422
102.699,NA,3095.97
233.1958,19.1,5141.3076
54.0298,6.13,808.947
100.6332,6.55,2665.8632
143.8128,16.5,2588.6304
125.073,17,1108.557
162.421,10.5,1304.968
55.4614,8.93,331.5684
180.866,NA,3235.788
95.141,16.1,3089.312
113.1544,NA,3355.632
171.379,5.82,2037.348
126.2046,16.25,1867.569
180.266,13.35,898.83
172.3422,NA,7759.899
125.6388,5.15,2848.2924
94.5462,NA,2868.9322
166.0526,7.865,3617.9572
239.4564,9.895,5243.8408
176.0712,17.35,2109.2544
36.1506,8.365,721.0614
92.1462,6.675,1203.1006
83.1276,NA,1868.2348
80.5618,17.35,322.2472
186.4556,16.75,3942.8676
129.6336,18.85,3195.84
143.5444,6.575,3338.3212
238.9538,12.65,4086.0146
110.9912,15.2,1856.2504
79.3276,NA,1380.8692
113.3834,7.07,1267.0174
184.4924,13.65,5182.5872
145.2418,NA,147.1418
58.8904,7.06,58.5904
186.3924,11.8,5367.6796
41.548,NA,1358.232
250.2092,9.3,5976.2208
117.6124,NA,2251.7356
181.1634,NA,181.7634
195.4136,13.6,5443.5808
57.2614,19.5,1547.3192
47.1034,19.35,145.8102
112.0202,NA,5063.409
178.9318,13.1,3067.3406
97.6384,16.7,2857.6136
87.1856,5.785,1406.1696
89.4172,NA,178.4344
59.3536,6.13,1470.0864
116.2492,9.8,2896.23
154.6314,NA,6515.5188
248.4092,7.42,996.0368
57.4562,16.7,948.0992
85.6198,NA,87.2198
80.1644,9,1178.466
188.4214,NA,565.2642
164.5526,6.36,2137.8838
184.1292,17.7,547.2876
208.5638,16.5,2691.8294
108.6912,NA,3057.3536
146.0418,NA,588.5672
96.4726,11.85,978.726
197.511,10.195,2356.932
162.1552,NA,3086.6488
153.2998,NA,461.3994
150.505,13.65,2696.49
117.9466,20.35,1649.8524
62.051,20.2,126.502
119.6124,13.85,2014.7108
112.2518,8.05,1707.777
94.712,7.365,932.12
118.344,12.5,2157.192
184.8582,7.42,4643.955
33.7216,NA,1280.9992
261.991,6.235,2366.919
49.1692,12.35,886.8456
95.6752,6.75,958.752
36.8532,16.75,1150.5024
163.3184,19.35,2641.8944
102.499,9.6,1547.985
62.0194,19.85,619.194
147.4076,15.1,2808.3444
62.9536,NA,2266.3832
85.6908,6.59,1929.4884
89.4856,16.75,1054.6272
38.6848,15.2,1155.8288
65.7484,13,1174.4712
154.1314,5.86,3412.8908
150.1708,11.395,300.9416
192.2478,20.85,387.4956
112.886,NA,2942.836
226.3036,5.035,4098.6648
45.0744,11.15,452.744
178.3344,6.38,3211.8192
162.2868,8.39,2620.5888
155.5288,5.675,1414.1592
110.1544,15.7,1565.9616
65.9484,13,1043.9744
121.844,NA,3115.944
145.3102,13.5,729.051
125.173,8.895,2956.152
263.0568,10.895,527.3136
178.437,16.2,1058.622
84.1592,NA,1320.9472
131.9942,15.1,3047.3666
217.6192,7.475,1725.7536
144.847,NA,143.147
41.5138,10.8,446.7518
35.019,20,585.904
210.3586,14.3,6331.758
153.4656,10.1,1853.5872
149.105,17.85,2247.075
32.89,9.5,33.29
146.6734,20.75,445.4202
164.6526,12.1,657.8104
74.4696,20.6,223.7088
33.1216,7.67,727.0536
111.1912,NA,218.3824
119.5756,20.6,2665.8632
196.6768,15.35,591.2304
142.6786,5.46,2311.6576
224.772,9.395,7017.532
180.6002,NA,895.501
243.8144,10,4655.2736
98.2042,NA,198.4084
73.3354,7.445,451.4124
49.7008,NA,50.6008
102.1332,15.5,615.1992
126.1704,19.85,876.1928
128.1652,11.5,2454.1388
250.4724,NA,251.6724
159.0946,10.5,4102.6596
177.766,19.7,2696.49
86.9198,NA,1569.9564
188.653,10.3,189.753
192.7478,20.85,3099.9648
61.4194,13.35,743.0328
177.8002,12.1,1611.9018
108.7228,20.1,1215.7508
184.2608,NA,367.5216
120.8756,21.25,3150.5656
181.766,NA,7370.406
209.2586,6.655,2954.8204
47.7402,13.65,643.1628
88.4172,NA,89.2172
176.737,13.6,4940.236
41.577,15.5,735.709
196.6794,10.895,1170.4764
101.799,19.7,1135.189
211.8902,8.1,3823.0236
195.0478,21,1549.9824
58.3588,13.65,114.5176
63.2826,NA,1033.3216
145.1418,NA,4561.3958
163.1236,NA,2416.854
176.8686,13.15,2133.2232
85.2198,15.25,1482.7366
121.5098,19.35,2892.2352
33.0558,NA,984.7182
185.424,17.75,745.696
92.7436,20.7,1323.6104
110.4228,9.5,1547.3192
55.5298,11.65,647.1576
128.7994,21.1,1798.9916
166.3526,7.865,1973.4312
57.0246,12.35,1737.738
114.715,NA,1864.24
168.1474,16.25,1516.0266
253.704,12.15,5060.08
78.296,10.5,2157.192
226.0404,12.8,5400.9696
177.637,NA,5469.547
172.8396,4.61,174.4396
105.728,7,1278.336
120.644,10,1917.504
128.1678,6.405,1017.3424
104.2964,9.3,1998.7316
57.9272,11.6,615.1992
39.1822,16.75,314.2576
122.973,12.15,123.173
48.2034,14.7,1020.6714
46.7744,20,1222.4088
120.2124,NA,474.0496
250.9066,7.39,1506.0396
150.5682,20.75,762.341
184.2292,9.3,1277.0044
147.6076,10.195,3547.3824
181.395,NA,6042.135
192.2162,7.68,384.8324
110.6886,10.195,1223.0746
200.0084,9.3,2182.4924
123.473,8.895,1478.076
143.2154,16,1418.154
239.2196,19.2,5061.4116
161.7578,20.75,2888.2404
172.1422,NA,5518.1504
35.2874,13.5,741.0354
241.7538,NA,9133.4444
101.199,19.7,1857.582
143.3154,6.095,2836.308
150.8392,8.21,2982.784
165.9816,17.7,167.7816
127.3336,18.1,1150.5024
259.2646,5.695,9275.9256
219.3482,20.25,5038.1086
152.3366,NA,2115.9124
80.3644,NA,1885.5456
115.6808,8.185,703.0848
140.718,18.2,2656.542
33.3558,19.25,713.0718
